Telegram N,Issue Id,Summary,Role,Location,Technologies,Team,Description,,,
48,VAC-121,Java Swing Developer (IntelliJ Platform UI Team),Software Developer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",No technologies,IntelliJ IDEA,"""
## Java Swing Developer (IntelliJ Platform UI Team) JetBrains is a world-leading vendor of professional software development tools. We strive to help developers work with pleasure and be more productive, by using smart products that take care of the routine tasks and let them focus on the creative processes. To achieve this goal, we are looking for talented, dedicated, and creative individuals. IntelliJ IDEA is the smartest IDE for Java and many other programming languages that we've been developing and perfecting for over 15 years. IntelliJ IDEA drives innovation in software development, making thousands of developers more productive. 
*As part of our team, you will:*
 -  Develop IntelliJ Platform, the foundation for such IDEs as IntelliJ IDEA, RubyMine, PyCharm, PhpStorm, WebStorm, CLion, Android Studio.
 -  Create new UI components and improve the existing ones.
 -  Improve usability and optimize performance. 
*Requirements:*
 -  At least 3 years of Java programming experience in commercial projects.
 -  Good knowledge of J2SE and Swing.
 -  Deep understanding of OOP.
 -  Experience in multithreaded programming.
 -  Ability to optimize and refactor other people's code as well as your own.
 -  Ability to write unit tests.
 -  Responsibility, independence, self-discipline.
 -  Strong teamwork skills. 
*Preferable:*
 -  Experience in developing plugins for IntelliJ IDEA, Eclipse, or Netbeans.
 -  Knowledge of C/С++, Win API, and Objective C.
 -  Familiarity with profilers.
 -  Knowledge of other programming languages and paradigms (Groovy, Haskell, Objective C, Python, Scala, Ruby, etc.).
 -  Familiarity with compiler development and code analysis technologies. 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
49,VAC-032,Java Swing Developer,Software Developer,"St. Petersburg, Russia, Novosibirsk, Russia","Java, Swing",IntelliJ IDEA,"""
## Java Swing Developer ( Platform UI Team) Founded in 2000, JetBrains is a world leader in making professional developer tools. Our goal is to make developers more productive through intelligent tools which help them escape the routine and allow their creativity to thrive. To achieve this goal, we are in need of talented, driven and creative thinkers. IntelliJ IDEA is the most advanced development environment for Java and other programming languages. Launched in 2001 with new versions released every year, IntelliJ IDEA is used by hundreds of thousands of developers around the world, and we put our heart and soul into making it an enjoyable experience for them. 
*As part of our team, you will:*
 -  Develop IntelliJ Platform, the foundation for such IDE as IntelliJ IDEA, RubyMine, PyCharm, PhpStorm, WebStorm, CLion, Android Studio;
 -  Create new UI components and improve the existing ones;
 -  Solve usability problems and enhance performance. 
*Requirements:*
 -  At least 3 years of Java programming experience in commercial projects;
 -  Good knowledge of J2SE and Swing;
 -  Deep understanding of OOP;
 -  Multithreaded programming experience;
 -  Ability to optimize and refactor other people's code as well as your own;
 -  Ability to write unit tests;
 -  Responsibility, independence, discipline
 -  Strong teamwork skills. 
*  Preferred qualifications:*
 -  Experience in developing plugins for IntelliJ IDEA, Eclipse or Netbeans;
 -  Knowledge of C/С++, Win API, Objective C;
 -  Familiarity with profilers;
 -  Knowledge of other programming languages and paradigms (Groovy, Haskell, Objective C, Python, Scala, Ruby, etc.);
 -  Familiarity with compiler development and code analysis technologies. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
50,VAC-024,Software Engineer (JVM Runtime),Software Developer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia","Java, C++",IntelliJ IDEA,"""
## Software Engineer (JVM Runtime) IntelliJ IDEA appeared on the market for Java software developers since 2000. It was the first development environment to implement automated code refactorings. Today IntelliJ IDEA still drives innovation in software development, making thousands of programmers more productive. It is the only commercial IDE in its segment to successfully compete with multiple free alternatives, year after year. IntelliJ IDEA includes various development tools for other languages such as Ruby, Groovy, Scala, Python and PHP. 

*You responsibilities:*
As part of our team, you will help develop IntelliJ IDEA Platform UI subsystem and OpenJDK based Java Runtime. 

*Requirements:*
 -  4+ years of working experience in C/C++ programming
 -  Good knowledge of Java
 -  Deep understanding of OOP
 -  Multithreaded programming experience
 -  Familiar with native UI application development on Unix, Windows or macOS.
 -  Ability to optimize and refactor other people's code as well as your own
 -  Responsibility, independence, discipline
 -  Good teamwork skills 
*Preferable:*
 -  Knowledge of other languages and libraries (Objective-C, Swift, OpenGL, D3D, Metal)
 -  Familiarity with JVM architecture 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
51,VAC-231,UI Developer (Rider),,,,,"""The Rider team is looking for a UI Developer to join our work on developing the most advanced IDEs in the world: Rider, IntelliJ IDEA, PyCharm, and more. Rider is a powerful cross-platform .NET IDE which successfully competes with industry giants like Visual Studio and VS Code. We are striving to make Rider not only the fastest and the most feature-rich IDE but also the most elegant, neat, and easy to use. Rider is based on the IntelliJ Platform, and it's very likely that the changes you bring will affect the entire family of our products and millions of their users. Don't hesitate to apply if you:
 -  Enjoy making attractive, ergonomic, and simple UI.
 -  Value the results of your work and are eager to get feedback from millions of users.
 -  Know Java/Kotlin.
 -  Knowledge of Swing will be a big plus. How we work:
 -  The source code is stored in Git repositories.
 -  Rider is built on many innovative ideas and has a distributed structure: frontend (Kotlin/Java), backend (C#), and other services (C#).
 -  For effective team collaboration, we use JetBrains products: Upsource for code review, TeamCity for test auto-running and product building, YouTrack for bug tracking and feature management.""",,,
52,VAC-106,C++ Windows Developer,Software Developer,"St. Petersburg, Russia, Moscow, Russia",No technologies,Toolbox App,"""
## C++ Windows Developer We at JetBrains think of coding as a creative process, one that is best done when you’re in the ‘flow’. All our products are designed with this principle in mind. As such, downloading product updates and installing them on a regular basis is not something you’d rather be doing. JetBrains Toolbox App is a small but nifty app that makes using JetBrains tools more enjoyable than ever. It’s a one-stop control panel designed to help users manage JetBrains tools, installations, updates, and even projects. We are looking for a C++ developer on Windows to make Toolbox App work on Windows in the best possible manner. 
* Areas of Responsibility:*
 -  Build multi-platform application core in C++ with focus on Windows.
 -  Integrate with Microsoft Visual Studio and JetBrains Resharper.
 -  Write unit, functional and end to end tests.
 -  Investigate and reproduce reported bugs and issues, and fix them.
 -  Collaborate with developers from other JetBrains teams and work on various cross-product integrations. 
* Technology Stack:*
 -  C++14.
 -  Qt Framework.
 -  CEF (Chromium Embedded Framework). 
* Basic Qualifications:*
 -  BA/BS degree in Computer Science or equivalent practical experience.
 -  3 years of relevant work experience in software development.
 -  Strong knowledge of C++14.
 -  Experience with COM and other Windows specific technologies.
 -  Experience with Microsoft Visual Studio and JetBrains tools.
 -  Readiness to work in a distributed team.
 -  Understand OOP and modern programming paradigms (Dependency Injection, SOLID, unit and integration testing, etc).
 -  Know how to optimize and refactor other people's code as well as your own.
 -  Ability and desire to work efficiently without direct supervision.
 -  Have strong teamwork skills: open to diverse opinions and able to protect your point with sound reasoning. 
* Bonus Qualifications:*
 -  Performance optimization & profiling.
 -  Experience with and a passion for UI design.
 -  Strong sense of UX fundamentals, including accessibility.
 -  Ability to communicate with all levels of users (internal and external), strong problem-solving skills, adaptability, proactivity, and willingness to take ownership.
 -  Participation in OSS projects, readiness to send PRs to external tools that we use.
 -  Basic knowledge of C#, HTML, CSS, JavaScript, Kotlin would be a plus. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.""",,,
53,VAC-118,Research Engineer,Software Developer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",Machine Learning,Research,"""
## Research Engineer JetBrains opens a research engineer position in its new AI department. As part of this department you will participate in research where you will apply cutting edge deep learning methods in code analysis and processing as well as natural language processing. You will have opportunity to publish and present some of results of research on international conferences. 
*Resposibilities:*
 -  Design and implement machine learning models.
 -  Write software integrating machine learning models with existing or new products.
 -  Keep up to date with state of the art in machine learning.
 -  Propose new ideas and implement them relating to areas of interest of the company.
 -  Writing papers and presenting research results on conferences. 
*  Minimum Qualifications::*
 -  Degree in a quantitative field such as computer science, mathematics, statistics physics or equivalent practical experience.
 -  Programming experience in Python.
 -  Experience of OO programming.
 -  Understanding of multivariate calculus, linear algebra and statistics.
 -  At least basic understanding of deep learning algorithms. 
*  Preferred qualifications:*
 -  Experience using deep learning based NLP methods.
 -  Experience working with PyTorch or Tensorflow.
 -  Programming experience in C++/Java. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.""",,,
54,VAC-062,Product Analyst (Platform UI),Analyst,"St. Petersburg, Russia, Moscow, Russia","Python, UX",IntelliJ IDEA,"""
## Product Analyst (Platform UI) Founded in 2000, JetBrains is a world-leading vendor of professional software development tools. We have a passion for making software development a more productive and enjoyable experience through intelligent tools that help developers to escape the routine and their creativity to thrive. We are looking for talented, inventive, and passionate people to join our team. We conduct various kinds of research for our product teams, marketing and sales departments. Some of our tasks involve usability testing of JetBrains products. We are looking for a UX Analyst who is experienced in usability testing of both web and desktop applications and has extensive expertise in research methodology. 
*As part of our team, you will:*
 -  Develop a system of metrics for the advancement of JetBrains products: where usability problems occur within the product, how changes in the product affect the metrics and what experiments are necessary for the product improvement;
 -  Perform A/B testing, develop testing conditions, and interpret the results;
 -  Provide recommendations for product improvement and search for the best solutions for UX enhancement;
 -  Collaborate with managers, developers, and designers;
 -  Perform ad-hoc analysis to support product decision-making. 
*Qualifications:*
 -  Analytical thinking, the ability to challenge hypotheses, analyze and structure data, draw conclusions and interrelate data
 -  Knowledge of mathematical statistics and experience of its application
 -  Confident use of Python (Pandas, Numpy), experience with SQL
 -  Ability to choose the right way to assess data: analytics, research or usage of external data
 -  At least one year of experience in data analysis or related fields
 -  Commitment, stress resistance and attention to detail
 -  Ability to solve non-trivial tasks under incomplete data conditions 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
55,VAC-036,Senior QA Engineer,QA Engineer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia","Java, C#",Rider,"""
## Senior QA Engineer Rider is a new cross-platform IDE for programming in C# and other languages. We've collected all the knowledge and experience from developing IntelliJ IDEA and ReSharper and put into the Rider project. The Rider team is currently looking for an experienced QA Engineer to assess the quality of the product and to support our customers. We are looking for a proactive, outgoing specialist with technical education and a background in software testing. 
*We'll be happy to have you on our team if you:*
 -  Have at least 2 years of experience in QA and customer support for commercial software tools.
 -  Have experience with IDEs (Visual Studio, IDEA based products).
 -  Understand the testing process.
 -  Are familiar with C#/Java to an extent sufficient for writing simple applications.
 -  Have experience in testing without functional specifications.
 -  Can explain complex ideas in simple words.
 -  Are ready to reproduce complicated cases, even when others might have given up.
 -  Can define the essence of an issue by a screenshot.
 -  Believe that any software is first and foremost made for its users.
 -  Think software products should be high-quality and user-friendly.
 -  Have worked with JetBrains products and want to take part in making them even better. 
*What tasks we have in store:*
 -  Have good English writing skills.
 -  Have tested IDEs and/or cross-platform applications.
 -  Are ready to work with Linux or macOS.
 -  Are familiar with .NET Core, MVC, Xamarin, Unity.
 -  Are familiar with memory/performance profilers. 
*As part of our team, you will:*
 -  Reproduce issues in both existing and new functionality in different environments.
 -  Reproduce issues based on user reports.
 -  Write new requests and support the existing ones.
 -  Communicate with developers to fully immerse into the architecture of the product.
 -  Process any user feedback on the product. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
56,VAC-037,Senior QA Engineer,QA Engineer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia","Java, C#",ReSharper,"""
## Senior QA Engineer ReSharper is a Visual Studio extension that makes development in Visual Studio more productive by automating most of the routine tasks. The ReSharper team is currently looking for an experienced QA Engineer to assess the quality of the product and to support our customers. We are looking for a proactive outgoing specialist with technical education and a background in software testing. 
*We'll be happy to have you on our team if you:*
 -  Have 2-3 years of experience in QA support for commercial software tools.
 -  Have experience with IDEs (Visual Studio, IDEA based products).
 -  Understand the testing process.
 -  Are familiar with C#/Java to an extent sufficient for writing simple applications.
 -  Have experience in testing without functional specifications.
 -  Can explain complex ideas in simple words.
 -  Are ready to reproduce complicated cases, even when others might have given up.
 -  Can define the essence of an issue by a screenshot.
 -  Believe that any piece of software is first and foremost made for its users.
 -  Think software products should be high-quality and user-friendly.
 -  Have worked with JetBrains products and want to take part in making them even better. 
*What tasks we have in store:*
 -  Have good English writing skills.
 -  Have tested IDEs and/or cross-platform applications.
 -  Are ready to work with Linux or macOS.
 -  Are familiar with .NET Core, MVC, Xamarin, Unity.
 -  Are familiar with memory/performance profilers. 
*As part of our team, you will:*
 -  Reproduce issues in both existing and new functionality in different environments.
 -  Reproduce issues based on user reports.
 -  Write new requests and support the existing ones.
 -  Communicate with developers to fully immerse into the architecture of the application.
 -  Process any user feedback on the product. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
57,VAC-101,Senior QA Engineer,QA Engineer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",Java,TeamCity,"""
## Senior QA Engineer (TeamCity) TeamCity is a kick-ass CI server that is used by many teams around the globe. Daily, it runs thousands of builds at fintech companies, game development studios, medical software producers, and many others. Our main goal has always been to make developers’ lives easier by providing a reliable and easy-to-use CI server. We have implemented a huge number of integrations with various tools and technologies to support continuous integration workflows. We’re looking for a QA engineer who will be able to improve the stability of a product. The candidate should have experience in testing complex and mission-critical software, broad outlook and a passion to make TeamCity better. 
*As part of our team, you will:*
 -  Perform all kinds of manual testing (regression, intergation etc);
 -  Work in close cooperation with developers, support engineers;
 -  Learn a lot about TeamCity and all variety of technologies supported by the product;
 -  Participate in releases. 
*Requirements:*
 -  Experience in QA of complex projects (web-services, backends, desktop applications);
 -  Strong knowledge of Web-related technologies, HTTP;
 -  Experience with relational databases (MySQL);
 -  Strong knowledge of CI/CD techniques;
 -  Passion, responsibility, and self-discipline;
 -  Ability to work in a distributed team (Saint Petersburg, Munich, Novosibirsk, Prague, Moscow). 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
58,VAC-157,Senior Test Engineer,QA Engineer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",C++,ReSharper C++,"""
## Senior Test Engineer (Rider/ReSharper С++) Rider is a new cross-platform IDE for programming in C# and other languages. We've collected all the knowledge and experience from developing IntelliJ IDEA and ReSharper and put into the Rider project. The Rider team is currently looking for an experienced QA Engineer specializing in C++ to assess the quality of the product and to support our customers. We are looking for a proactive and outgoing specialist with technical education and a background in software testing. 
*We'll be happy to have you on our team if you:*
 -  Have at least 2 years of experience in QA and customer support for commercial software products.
 -  Have experience with IDEs (Visual Studio, IntelliJ-based products).
 -  Are familiar with C++ to an extent sufficient for writing simple applications.
 -  Are familiar with Unity and Unreal Engine.
 -  Have experience in testing without functional specifications.
 -  Can explain complex ideas in simple words.
 -  Are ready to reproduce complicated cases, even when others have given up.
 -  Can define the essence of an issue by a screenshot.
 -  Believe that any software is first and foremost made for its users.
 -  Think software products should be high-quality and user-friendly.
 -  Have worked with JetBrains products and want to take part in making them even better. 
* We’d be especially thrilled if you:*
 -  Have good English writing skills.
 -  Have tested IDEs and/or cross-platform applications.
 -  Are ready to work with Linux or macOS.
 -  Are familiar with memory/performance profilers. 
*  What tasks we tackle:*
 -  Testing popular C++ projects for compatibility with the IDE.
 -  Reading the C++ standard and inventing interesting/edge cases that could break our language support.
 -  Reproduction of issues in both existing and new functionality in different environments.
 -  Reproduction of issues based on user reports.
 -  Communication with developers and users of our IDE. 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
59,VAC-179,Senior Test Engineer,QA Engineer,"St. Petersburg, Russia",Java,IntelliJ IDEA,"""
## Senior Test Engineer (IntelliJ IDEA) Founded in 2000, JetBrains is a world-leading vendor of professional software development tools. We strive to help developers work with pleasure and be more productive, by using smart products that take care of the routine tasks and let them focus on the creative processes. To help us achieve this goal, we require talented, dedicated, and creative individuals. IntelliJ IDEA revolutionized the Java development tool market back in 2001, becoming the first IDE to offer automated code refactoring. It continues to drive innovation in software development, making thousands of programmers more productive every day. In addition to Java, the IDE includes various development tools for more languages such as Ruby, Groovy, Scala, Python, JavaScript, Objective C, PHP, and Kotlin. We are looking for an experienced Senior Test Engineer to join our growing IntelliJ IDEA team. 
* In this role, you will:*
 -  Collaborate with developers: test new and existing functionality, performing regression testing to verify system stability, and perform acceptance testing.
 -  Work with users: reproduce issues reported by users and provide user support. 
*Requirements:*
 -  Completed higher education.
 -  Good English writing skills.
 -  Testing experience.
 -  Familiarity with programming languages (Java/JavaScript/Scala) sufficient for writing simple applications and reading other people's code.
 -  Desire to continue to work in QA.
 -  Responsibility, self-discipline, and self-learning skills. 
* Skills that are not required but preferable:*
 -  Experience in IDE testing.
 -  Experience with different operating systems.
 -  Familiarity with IntelliJ IDEA. 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
60,VAC-125,QA Engineer,QA Engineer,"St. Petersburg, Russia, Moscow, Russia",No technologies,RubyMine,"""
## QA Engineer (RubyMine) JetBrains is a world-leading vendor of professional software development tools. We strive to help developers work with pleasure and be more productive, by using smart products that take care of the routine tasks and let them focus on the creative processes. RubyMine is a smart Ruby and Ruby on Rails IDE. Launched in 2008, it was the first language-specific IDE based on the IntelliJ Platform, and we've been putting our heart and soul into making it an enjoyable experience for developers across the globe. Among our customers are Twitter, NASA, and New Relic. The RubyMine team is looking for a QA Engineer who will assess the quality of the product and support our customers. We are looking for a proactive and outgoing specialist with technical education and a background in software testing. 
*As part of our team, you will:*
 -  Perform functional, research, and regression testing of various IDE components in different environments.
 -  Work with users in our bug tracker and reproduce complex issues.
 -  Participate in the discussion of new functionality and design, as well as planning and product releases.
 -  Support and develop automated testing. 
*Requirements:*
 -  Good command of spoken and written English.
 -  3+ years of experience in manual testing of software products.
 -  Development skills in Ruby, Java, or Python sufficient for writing a simple application.
 -  Ability to detect and reproduce complex functionality issues.
 -  Ability to communicate with users and help them solve their problems. 
*Preferable:*
 -  Experience in testing cross-platform applications.
 -  Experience with terminal in Windows, Linux, Mac OS.
 -  Familiarity with memory/performance profilers.
 -  Familiarity with IntelliJ IDEA or other products based on IntelliJ platform. 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
61,VAC-186,QA Engineer,QA Engineer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",JavaScript,WebStorm,"""
## QA Engineer (WebStorm) WebStorm is a smart IDE for modern JavaScript development. Launched in 2010 on the basis of JS support for IntelliJ IDEA, WebStorm gets major updates three times a year. Today, the WebStorm functionality is bundled into most of the commercial products built on the IntelliJ Platform, and the IDE is used by more than 300,000 developers worldwide. Among our customers are Angular, Yahoo, and BMW. 
*We'll be happy to have you on our team if you:*
 -  Enjoy solving complex and challenging tasks.
 -  Want to create a reliable and high-quality product.
 -  Have at least 3 years of experience in commercial software testing.
 -  Can design and automate Java tests that are easy to read and maintain.
 -  Know JavaScript, HTML, and CSS well enough to write simple applications.
 -  Are comfortable with manual testing.
 -  Understand the algorithms behind the code you write.
 -  Have strong teamwork skills: are open to diverse opinions and can support your point with sound reasoning.
 -  Want to grow as a professional, to master and apply new approaches and technologies.
 -  Take pride in the work you do. 
* We’d be especially thrilled if you:*
 -  Have experience in testing cross-platform applications.
 -  Have experience with IntelliJ IDEA.
 -  Have tried coding in Kotlin.
 -  Have worked with macOS and Linux. 
*What tasks we have in store:*
 -  Manual exploratory and regression testing of the product.
 -  Creating a test automation framework for IntelliJ-based IDEs.
 -  Writing new automated tests.
* How we work:*
 -  All the new changes to the code are covered with functional tests (over 13,000 tests have been written so far) and then passed to the QAs for manual testing.
 -  We've started working on automation solutions for the most common and critical scenarios.
 -  For effective team collaboration, we use JetBrains products: Upsource for code review, TeamCity for test auto-running and product building, YouTrack for bug tracking and feature management. 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
